Motivo,Fuente,Validación,Páginas
Página alternativa con etiqueta canónica adecuada,Sitio web,No iniciada,55
No se ha encontrado (404),Sitio web,No iniciada,12
Página con redirección,Sitio web,No iniciada,6
"Excluida por una etiqueta ""noindex""",Sitio web,No iniciada,3
Descubierta: actualmente sin indexar,Sistemas de Google,No iniciada,11
Bloqueada por robots.txt,Sitio web,N/D,0
Rastreada: actualmente sin indexar,Sistemas de Google,N/D,0
